UserID,Group,Age,Gender,EmailOpenRate,ClickThroughRate,SatisfactionScore,UserComment
98,A,58,Other,43,7.5,6.1,"A bit information-dense, in my opinion."
99,A,53,Other,41.4,11,6.7,
100,A,21,Male,62.6,0.5,7.8,
101,B,31,Male,62.9,15.7,7.3,Really liked the design!
102,B,42,Male,68.9,13.2,8.3,Fun and easy to follow onboarding.
103,B,25,Male,66.7,9.2,6.4,The onboarding was enjoyable and straightforward to follow.
104,B,42,Female,45.4,17.3,7.1,Visually appealing and easy to read.
105,B,24,Male,66.4,13.1,8.3,Loved the interactive tips!
106,B,29,Male,56.6,7.7,9.3,I enjoyed the overall layout!
107,B,50,Female,54.4,8.1,8.9,
108,B,33,Male,50.4,8,9.7,I enjoyed the visual style!
109,B,39,Female,54.3,11.5,7.7,The onboarding was enjoyable and intuitive to navigate.
110,B,47,Female,49.9,9.8,9,The onboarding was enjoyable and simple to understand.
111,B,32,Female,72.3,13.8,8.2,
112,B,26,Female,44.5,8.6,7.3,I enjoyed the design updates!
113,B,55,Female,67.6,14.5,4.8,
114,B,58,Male,52.6,1,7.3,I enjoyed the graphic elements!
115,B,29,Male,33,10.3,7.6,I appreciated the overall layout!
116,B,27,Female,65.1,8.4,8.7,
117,B,29,Female,59.8,10.5,7.6,The emails were attractive and clear to read.
118,B,46,Male,59.8,6.8,10,I adored the interactive tips!
119,B,31,Female,57.9,10.5,8.6,I adored the helpful pointers!
120,B,36,Female,62.4,8.6,6.6,Felt more personal and engaging.
121,B,25,Other,49.5,7.6,9.2,The emails were attractive and legible.
122,B,47,Male,29.9,10.2,8.1,I appreciated the visual style!
123,B,59,Other,41.4,5.8,7.9,
124,B,35,Male,42.6,11.4,7.8,The emails were attractive and easy to scan.
125,B,56,Other,56.7,8,8.1,They felt personalized and engaging.
126,B,54,Male,67.8,8.8,6.3,
127,B,24,Other,60,11.1,7.8,I adored the guidance features!
128,B,26,Male,44.2,9.4,8.9,
129,B,42,Female,48.9,7.8,5.2,
130,B,28,Female,60.2,10.9,8,I adored the hands-on suggestions!
131,B,40,Other,59.4,10.7,7.8,
132,B,51,Male,53.9,11.9,7.8,
133,B,31,Male,38.8,14.5,7,
134,B,57,Other,44.1,7.3,6.9,
135,B,54,Female,66.6,8.3,8,I appreciated the graphic elements!
136,B,24,Male,70.6,11.4,9.1,I admired the overall layout!
137,B,57,Female,48.6,10.7,9.8,The onboarding was entertaining and intuitive to navigate.
138,B,55,Other,44.6,10.4,7.9,
139,B,42,Female,43.1,12.5,6.8,
140,B,45,Other,55.4,12.8,8,
141,B,39,Other,66.8,8.9,5.7,
142,B,25,Male,79.1,11,8.8,
143,B,46,Male,62.1,0.3,9,I admired the design updates!
144,B,26,Male,59.2,12.1,9.1,The emails were eye-catching and clear to read.
145,B,33,Female,39.1,9.7,9.4,
146,B,31,Other,56.1,2.2,7.8,They felt customized and interactive.
147,B,20,Other,38.8,11.1,8.5,
148,B,43,Other,52.9,7,6.5,
149,B,40,Male,71.1,5.4,7.5,
150,B,22,Other,74.2,11.6,9.1,
151,B,31,Male,39.3,9.7,8.3,The onboarding was entertaining and simple to understand.
152,B,53,Female,28.8,17.2,7.7,I loved the overall layout!
153,B,30,Other,40.8,4.7,6.4,The emails were eye-catching and user-friendly.
154,B,21,Female,37,0.5,9.7,
155,B,34,Other,65.6,15.3,7,I loved the visual style!
156,B,22,Other,85.5,6.9,8.6,I appreciated the helpful pointers!
157,B,56,Female,35.5,1.8,8.5,I appreciated the guidance features!
158,B,54,Other,67.6,1.1,9.6,
159,B,59,Female,30.7,13,8.2,The emails were pleasing and clear to read.
160,B,54,Other,62,7.5,7.8,
161,B,27,Female,28.5,17.8,8,I loved the design updates!
162,B,42,Female,50.4,7.3,8.4,
163,B,58,Other,72,11.1,8.9,
164,B,31,Male,64.4,5.6,9.7,
165,B,47,Male,53,4.8,8.4,
166,B,41,Female,38.6,10.9,7.9,The onboarding was engaging and simple to understand.
167,B,39,Male,50.9,8.5,7.1,
168,B,53,Male,49.4,11.5,7.6,
169,B,55,Other,57.7,14.9,8.7,
170,B,38,Female,71.1,11.3,7.9,I loved the graphic elements!
171,B,47,Female,37.1,13.8,6.6,
172,B,42,Female,62.9,11.9,8.1,
173,B,26,Female,41.4,6.8,9,The emails were pleasing and user-friendly.
174,B,31,Other,43.9,14.2,6.1,The onboarding was engaging and smooth to go through.
175,B,58,Male,72.8,8.7,7.4,
176,B,52,Male,74.1,14.5,8.1,
177,B,44,Other,49.7,11.1,8.1,
178,B,52,Female,36.4,11.9,7.9,
179,B,32,Male,56.5,17.6,8.7,The emails were well-designed and clear to read.
180,B,43,Other,54.9,5.6,8.3,
181,B,42,Other,44.8,8.9,8.4,
182,B,53,Female,54.3,3.9,8.9,
183,B,45,Male,38,10,8.5,
184,B,51,Female,72.9,10.9,8.2,
185,B,28,Female,63.5,6.2,7.7,
186,B,38,Male,53.2,4.8,7.8,I enjoyed the hands-on suggestions!
187,B,41,Female,51.3,8.4,6.4,
188,B,30,Female,62.6,12.6,7.2,
189,B,59,Other,38.4,10.7,9.7,The emails were well-designed and easy to scan.
190,B,59,Male,37,13.3,8.3,
191,B,38,Other,50.8,11.8,7.5,I thought they were personalized and engaging.
192,B,19,Male,43.2,12.9,6.6,The emails were well-designed and user-friendly.
193,B,49,Other,72.8,10.8,10,
194,B,51,Other,55.5,8.3,10,
195,B,40,Male,58.3,8.7,8.2,
196,B,54,Other,51.3,13.6,8,
197,B,44,Male,43.2,7.2,8.8,I thought they were personalized and interactive.
198,B,28,Female,54.4,10.9,6.8,
199,B,57,Female,36.9,14.4,7.2,
200,B,37,Female,40.6,11.9,6.7,
