UserID,Group,Age,Gender,TimeSpentMinutes,TaskSuccess,SatisfactionScore
119,B,31,Female,2.75,0,8.2
120,B,36,Female,4.9,1,8.8
121,B,25,Other,6.1,1,8.2
122,B,47,Male,2.38,1,9.6
123,B,59,Other,5.86,1,8.2
124,B,35,Male,5.51,1,8.6
125,B,56,Other,4.81,1,7.5
126,B,54,Male,6.28,1,8.2
127,B,24,Other,3.81,1,7
130,B,28,Female,5.27,1,7
132,B,51,Male,8.48,1,7
133,B,31,Male,5.58,1,6.6
134,B,57,Other,5.83,1,8.1
135,B,54,Female,6.25,0,8.9
137,B,57,Female,5.74,1,8.2
138,B,55,Other,5.68,1,7.2
139,B,42,Female,4.69,0,7.4
140,B,45,Other,5.45,1,9.4
141,B,39,Other,6.5,1,10
142,B,25,Male,4.77,1,6.4
143,B,46,Male,6.58,0,8.5
144,B,26,Male,2.85,1,9
145,B,33,Female,7.51,1,8.8
146,B,31,Other,3.55,1,10
148,B,43,Other,5.88,1,8.9
149,B,40,Male,8.97,0,8.6
152,B,53,Female,5.4,1,9.4
154,B,21,Female,2.12,1,8.8
155,B,34,Other,7.51,1,6.9
156,B,22,Other,7.33,1,8.3
158,B,54,Other,5.9,1,5.9
159,B,59,Female,4.81,0,9.8
160,B,54,Other,3.09,1,6.6
161,B,27,Female,3.32,0,7.9
162,B,42,Female,3.99,1,10
163,B,58,Other,6.02,1,6.8
164,B,31,Male,6.22,1,9.1
165,B,47,Male,7.03,1,8.8
166,B,41,Female,4.93,1,8.2
167,B,39,Male,6.11,1,10
168,B,53,Male,5.08,1,8.8
169,B,55,Other,7.21,1,10
170,B,38,Female,3.85,1,9.8
171,B,47,Female,3.09,1,9.1
172,B,42,Female,5.85,1,8
173,B,26,Female,4.98,1,7.7
174,B,31,Other,6.08,1,7.7
175,B,58,Male,7.92,1,8.5
176,B,52,Male,5.99,1,8
179,B,32,Male,5.58,1,8.3
180,B,43,Other,5.38,1,8.8
182,B,53,Female,5.88,1,10
183,B,45,Male,5.88,1,9.5
184,B,51,Female,6.22,0,8
185,B,28,Female,5.79,1,8.1
186,B,38,Male,6.97,1,7.8
187,B,41,Female,2.38,1,7.2
188,B,30,Female,6.17,1,9.7
190,B,59,Male,5.83,1,8.3
191,B,38,Other,2.99,1,9.6
192,B,19,Male,3.71,1,6.5
193,B,49,Other,6.02,1,8.9
194,B,51,Other,6.75,0,9
195,B,40,Male,7.06,0,8.2
196,B,54,Other,6.22,1,8.1
197,B,44,Male,4.8,1,7.1
198,B,28,Female,7.05,1,8.5
199,B,57,Female,4.52,1,7.3
200,B,37,Female,6.19,0,5.9
